,nombre_archivo,extension,categoria,ancho,alto,identificador_unico
0,birds_0.jpg,JPEG,birds,500,304,0
1,birds_1.jpg,JPEG,birds,500,374,1
2,birds_2.jpg,JPEG,birds,500,333,2
3,birds_3.jpg,JPEG,birds,500,333,3
4,birds_4.jpg,JPEG,birds,469,298,4
5,birds_5.jpg,JPEG,birds,500,335,5
6,birds_6.jpg,JPEG,birds,500,431,6
7,birds_7.jpg,JPEG,birds,500,333,7
8,birds_8.jpg,JPEG,birds,320,242,8
9,birds_9.jpg,JPEG,birds,500,358,9
10,birds_10.jpg,JPEG,birds,500,500,10
11,birds_11.jpg,JPEG,birds,388,500,11
12,birds_12.jpg,JPEG,birds,500,333,12
13,birds_13.jpg,JPEG,birds,382,500,13
14,birds_14.jpg,JPEG,birds,500,362,14
15,birds_15.jpg,JPEG,birds,500,333,15
16,birds_16.jpg,JPEG,birds,500,333,16
17,birds_17.jpg,JPEG,birds,500,330,17
18,birds_18.jpg,JPEG,birds,500,334,18
19,birds_19.jpg,JPEG,birds,500,333,19
20,birds_20.jpg,JPEG,birds,500,351,20
21,birds_21.jpg,JPEG,birds,333,500,21
22,birds_22.jpg,JPEG,birds,500,411,22
23,birds_23.jpg,JPEG,birds,500,375,23
24,birds_24.jpg,JPEG,birds,420,280,24
25,birds_25.jpg,JPEG,birds,362,500,25
26,birds_26.jpg,JPEG,birds,500,333,26
27,birds_27.jpg,JPEG,birds,500,357,27
28,birds_28.jpg,JPEG,birds,420,280,28
29,birds_29.jpg,JPEG,birds,500,357,29
30,birds_30.jpg,JPEG,birds,333,500,30
31,birds_31.jpg,JPEG,birds,458,500,31
32,birds_32.jpg,JPEG,birds,500,333,32
33,birds_33.jpg,JPEG,birds,500,333,33
34,birds_34.jpg,JPEG,birds,500,356,34
35,birds_35.jpg,JPEG,birds,500,401,35
36,birds_36.jpg,JPEG,birds,500,500,36
37,birds_37.jpg,JPEG,birds,500,496,37
38,birds_38.jpg,JPEG,birds,500,465,38
39,birds_39.jpg,JPEG,birds,500,317,39
40,birds_40.jpg,JPEG,birds,417,339,40
41,birds_41.jpg,JPEG,birds,500,375,41
42,birds_42.jpg,JPEG,birds,500,300,42
43,birds_43.jpg,JPEG,birds,500,429,43
44,birds_44.jpg,JPEG,birds,500,400,44
45,birds_45.jpg,JPEG,birds,417,500,45
46,birds_46.jpg,JPEG,birds,500,341,46
47,birds_47.jpg,JPEG,birds,500,336,47
48,birds_48.jpg,JPEG,birds,500,325,48
49,birds_49.jpg,JPEG,birds,500,333,49
50,birds_50.jpg,JPEG,birds,500,348,50
51,birds_51.jpg,JPEG,birds,456,500,51
52,birds_52.jpg,JPEG,birds,500,333,52
53,birds_53.jpg,JPEG,birds,500,349,53
54,birds_54.jpg,JPEG,birds,500,333,54
55,birds_55.jpg,JPEG,birds,456,311,55
56,birds_56.jpg,JPEG,birds,500,333,56
57,birds_57.jpg,JPEG,birds,333,500,57
58,birds_58.jpg,JPEG,birds,500,460,58
59,birds_59.jpg,JPEG,birds,320,240,59
60,birds_60.jpg,JPEG,birds,500,406,60
61,birds_61.jpg,JPEG,birds,500,500,61
62,birds_62.jpg,JPEG,birds,500,362,62
63,birds_63.jpg,JPEG,birds,411,500,63
64,birds_64.jpg,JPEG,birds,500,500,64
65,birds_65.jpg,JPEG,birds,500,333,65
66,birds_66.jpg,JPEG,birds,500,400,66
67,birds_67.jpg,JPEG,birds,334,500,67
68,birds_68.jpg,JPEG,birds,500,467,68
69,birds_69.jpg,JPEG,birds,500,375,69
70,birds_70.jpg,JPEG,birds,500,334,70
71,birds_71.jpg,JPEG,birds,500,387,71
72,birds_72.jpg,JPEG,birds,400,500,72
73,birds_73.jpg,JPEG,birds,500,400,73
74,birds_74.jpg,JPEG,birds,500,358,74
75,birds_75.jpg,JPEG,birds,500,335,75
76,birds_76.jpg,JPEG,birds,500,391,76
77,birds_77.jpg,JPEG,birds,386,500,77
78,birds_78.jpg,JPEG,birds,500,333,78
79,birds_79.jpg,JPEG,birds,500,368,79
80,birds_80.jpg,JPEG,birds,500,333,80
81,birds_81.jpg,JPEG,birds,500,333,81
82,birds_82.jpg,JPEG,birds,500,330,82
83,birds_83.jpg,JPEG,birds,500,375,83
84,birds_84.jpg,JPEG,birds,500,375,84
85,birds_85.jpg,JPEG,birds,500,442,85
86,birds_86.jpg,JPEG,birds,400,500,86
87,birds_87.jpg,JPEG,birds,500,375,87
88,birds_88.jpg,JPEG,birds,500,334,88
89,birds_89.jpg,JPEG,birds,500,301,89
90,birds_90.jpg,JPEG,birds,500,331,90
91,birds_91.jpg,JPEG,birds,500,347,91
92,birds_92.jpg,JPEG,birds,434,500,92
93,birds_93.jpg,JPEG,birds,500,330,93
94,birds_94.jpg,JPEG,birds,500,333,94
95,birds_95.jpg,JPEG,birds,500,441,95
96,birds_96.jpg,JPEG,birds,500,338,96
97,birds_97.jpg,JPEG,birds,180,180,97
98,birds_98.jpg,JPEG,birds,500,334,98
99,birds_99.jpg,JPEG,birds,500,357,99
100,birds_100.jpg,JPEG,birds,500,375,100
101,birds_101.jpg,JPEG,birds,500,379,101
102,birds_102.jpg,JPEG,birds,500,335,102
103,birds_103.jpg,JPEG,birds,350,262,103
104,birds_104.jpg,JPEG,birds,500,375,104
105,birds_105.jpg,JPEG,birds,200,200,105
106,birds_106.jpg,JPEG,birds,500,311,106
107,birds_107.jpg,JPEG,birds,437,500,107
108,birds_108.jpg,JPEG,birds,334,500,108
109,birds_109.jpg,JPEG,birds,345,169,109
110,birds_110.jpg,JPEG,birds,500,375,110
111,birds_111.jpg,JPEG,birds,500,335,111
112,birds_112.jpg,JPEG,birds,500,369,112
113,birds_113.jpg,JPEG,birds,500,375,113
114,birds_114.jpg,JPEG,birds,500,415,114
115,birds_115.jpg,JPEG,birds,318,500,115
116,birds_116.jpg,JPEG,birds,500,335,116
117,birds_117.jpg,JPEG,birds,500,319,117
118,birds_118.jpg,JPEG,birds,333,500,118
119,birds_119.jpg,JPEG,birds,500,474,119
120,birds_120.jpg,JPEG,birds,500,367,120
121,birds_121.jpg,JPEG,birds,500,436,121
122,birds_122.jpg,JPEG,birds,500,334,122
123,birds_123.jpg,JPEG,birds,368,500,123
124,birds_124.jpg,JPEG,birds,500,398,124
125,birds_125.jpg,JPEG,birds,300,278,125
126,birds_126.jpg,JPEG,birds,500,375,126
127,birds_127.jpg,JPEG,birds,500,400,127
128,birds_128.jpg,JPEG,birds,500,333,128
129,birds_129.jpg,JPEG,birds,500,500,129
130,birds_130.jpg,JPEG,birds,500,333,130
131,birds_131.jpg,JPEG,birds,140,191,131
132,birds_132.jpg,JPEG,birds,500,374,132
133,birds_133.jpg,JPEG,birds,334,500,133
134,birds_134.jpg,JPEG,birds,500,376,134
135,birds_135.jpg,JPEG,birds,437,500,135
136,birds_136.jpg,JPEG,birds,500,333,136
